#Position (bp)	insert size	chromosomes
3865969.5	2937.5	0.0
1.15979075E7	1172.25	52793.0
1.93298455E7	1071.6666666666667	0.0
2.70617835E7	171.0	0.0
3.47937215E7	4538.0	52793.0
4.25256595E7	371.57142857142856	0.0
5.02575975E7	19676.0	0.0
5.79895355E7	221.0	52793.0
6.57214735E7	219.0	0.0
7.34534115E7	0.0	0.0
8.11853495E7	0.0	52793.0
8.89172875E7	137.66666666666666	0.0
9.66492255E7	332.0	0.0
1.043811635E8	0.0	52793.0
1.121131015E8	1837.142857142857	0.0
1.198450395E8	866.0	0.0
1.275769775E8	0.0	52793.0
1.353089155E8	0.0	0.0
1.430408535E8	305.0	0.0
1.507727915E8	845.65	52793.0
1.585047295E8	1281.4666666666667	0.0
1.662366675E8	5596.833333333333	0.0
1.739686055E8	17995.333333333332	52793.0
1.817005435E8	433.7	0.0
1.894324815E8	0.0	0.0
1.971644195E8	0.0	52793.0
2.048963575E8	2565.0	0.0
2.126282955E8	4899.0	0.0
2.203602335E8	682.0	52793.0
2.280921715E8	1497.0	0.0
2.358241095E8	0.0	0.0
2.435560475E8	163.33333333333334	52793.0
2.481892195E8	324.0	0.0
2.520551885E8	0.0	0.0
2.590199235E8	186.66666666666666	52793.0
2.667518615E8	235.5	0.0
2.744837995E8	584.75	0.0
2.822157375E8	5178.0	52793.0
2.899476755E8	0.0	0.0
2.976796135E8	0.0	0.0
3.054115515E8	3222.0	52793.0
3.131434895E8	0.0	0.0
3.208754275E8	785.6	0.0
3.286073655E8	0.0	52793.0
3.363393035E8	3279.8	0.0
3.440712415E8	3355.0	0.0
3.518031795E8	159.5	52793.0
3.595351175E8	0.0	0.0
3.672670555E8	0.0	0.0
3.749989935E8	0.0	52793.0
3.827309315E8	260.0	0.0
3.904628695E8	0.0	0.0
3.981948075E8	0.0	52793.0
4.059267455E8	0.0	0.0
4.136586835E8	25596.0	0.0
4.213906215E8	0.0	52793.0
4.291225595E8	0.0	0.0
4.368544975E8	0.0	0.0
4.445864355E8	4331.0	52793.0
4.523183735E8	3636.0	0.0
4.600503115E8	0.0	0.0
4.677822495E8	640.4	52793.0
4.755141875E8	3764.0	0.0
4.832461255E8	1296.6666666666667	0.0
4.89131023E8	0.0	52793.0
4.92996992E8	0.0	0.0
4.987100015E8	4026.0	0.0
5.064419395E8	145.5	52793.0
5.141738775E8	153.0	0.0
5.219058155E8	0.0	0.0
5.296377535E8	3269.5	52793.0
5.373696915E8	326.0	0.0
5.451016295E8	545.5	0.0
5.528335675E8	0.0	52793.0
5.605655055E8	0.0	0.0
5.682974435E8	0.0	0.0
5.760293815E8	0.0	52793.0
5.837613195E8	0.0	0.0
5.914932575E8	0.0	0.0
5.992251955E8	372.0	52793.0
6.069571335E8	1596.0	0.0
6.146890715E8	0.0	0.0
6.224210095E8	1222.25	52793.0
6.301529475E8	4205.666666666667	0.0
6.378848855E8	11791.5	0.0
6.456168235E8	191.0	52793.0
6.533487615E8	0.0	0.0
6.610806995E8	208.0	0.0
6.688126375E8	408.0	52793.0
6.765445755E8	2817.6666666666665	0.0
6.842765135E8	292.57142857142856	0.0
6.887939965E8	2800.0	52793.0
6.926599655E8	159.5	0.0
6.997403895E8	2357.4	0.0
7.074723275E8	0.0	52793.0
7.152042655E8	0.0	0.0
7.229362035E8	0.0	0.0
7.306681415E8	812.5	52793.0
7.384000795E8	5640.0	0.0
7.461320175E8	0.0	0.0
7.538639555E8	0.0	52793.0
7.615958935E8	0.0	0.0
7.693278315E8	113.5	0.0
7.770597695E8	495.0	52793.0
7.847917075E8	0.0	0.0
7.925236455E8	138.66666666666666	0.0
8.002555835E8	230.0	52793.0
8.079875215E8	288.0	0.0
8.157194595E8	208.0	0.0
8.234513975E8	0.0	52793.0
8.311833355E8	0.0	0.0
8.389152735E8	0.0	0.0
8.466472115E8	0.0	52793.0
8.543791495E8	0.0	0.0
8.621110875E8	0.0	0.0
8.698430255E8	0.0	52793.0
8.7668453E8	0.0	0.0
8.80550499E8	1482.0	0.0
8.853069015E8	0.0	52793.0
8.930388395E8	3326.5	0.0
9.007707775E8	0.0	0.0
9.085027155E8	293.0	52793.0
9.162346535E8	0.0	0.0
9.239665915E8	124.0	0.0
9.316985295E8	0.0	52793.0
9.394304675E8	537.0	0.0
9.471624055E8	0.0	0.0
9.548943435E8	1797.0	52793.0
9.626262815E8	4209.5	0.0
9.703582195E8	0.0	0.0
9.780901575E8	695.5	52793.0
9.858220955E8	0.0	0.0
9.935540335E8	72.0	0.0
1.0012859715E9	0.0	52793.0
1.0090179095E9	249.0	0.0
1.0167498475E9	177.0	0.0
1.0244817855E9	0.0	52793.0
1.0322137235E9	1178.75	0.0
1.0399456615E9	0.0	0.0
1.0476775995E9	1070.5	52793.0
1.0554095375E9	229.0	0.0
1.0602369155E9	1806.5	0.0
1.0641028845E9	0.0	52793.0
1.0708734135E9	856.5	0.0
1.0786053515E9	0.0	0.0
1.0863372895E9	2839.0	52793.0
1.0940692275E9	1059.0833333333333	0.0
1.1018011655E9	2191.0	0.0
1.1095331035E9	1858.0	52793.0
1.1172650415E9	298.0	0.0
1.1249969795E9	0.0	0.0
1.1327289175E9	447.0	52793.0
1.1404608555E9	362.0	0.0
1.1481927935E9	0.0	0.0
1.1559247315E9	0.0	52793.0
1.1636566695E9	5466.0	0.0
1.1713886075E9	6248.5	0.0
1.1791205455E9	2684.0	52793.0
1.1868524835E9	0.0	0.0
1.1945844215E9	147.0	0.0
1.2023163595E9	0.0	52793.0
1.2100482975E9	52793.0	0.0
1.2177802355E9	0.0	0.0
1.2255121735E9	0.0	52793.0
1.230691223E9	0.0	0.0
1.234557192E9	0.0	0.0
1.2409760495E9	4470.333333333333	52793.0
1.2487079875E9	94.0	0.0
1.2564399255E9	314.5	0.0
1.2641718635E9	458.25	52793.0
1.2719038015E9	101.5	0.0
1.2796357395E9	662.0	0.0
1.2873676775E9	246.0	52793.0
1.2950996155E9	143.0	0.0
1.3028315535E9	2771.6	0.0
1.3105634915E9	2271.0	52793.0
1.3182954295E9	0.0	0.0
1.3260273675E9	2539.6666666666665	0.0
1.3337593055E9	2376.5	52793.0
1.3414912435E9	473.0	0.0
1.3492231815E9	0.0	0.0
1.3569551195E9	138.75	52793.0
1.3646870575E9	231.0	0.0
1.3724189955E9	4143.0	0.0
1.3801509335E9	298.3333333333333	52793.0
1.3876835895E9	185.0	0.0
1.3915495585E9	0.0	0.0
1.3956148095E9	229.0	52793.0
1.4033467475E9	0.0	0.0
1.4110786855E9	0.0	0.0
1.4188106235E9	1371.3333333333333	52793.0
1.4265425615E9	2304.3333333333335	0.0
1.4342744995E9	0.0	0.0
1.4420064375E9	36032.0	52793.0
1.4497383755E9	632.0	0.0
1.4574703135E9	520.0	0.0
1.4652022515E9	4382.5	52793.0
1.4729341895E9	175.0	0.0
1.4806661275E9	262.0	0.0
1.4883980655E9	2591.6666666666665	52793.0
1.4961300035E9	2571.5	0.0
1.5038619415E9	186.0	0.0
1.5115938795E9	359.0	52793.0
1.5193258175E9	160.0	0.0
1.5270577555E9	152.0	0.0
1.5337063185E9	638.3333333333334	52793.0
1.5375722875E9	1235.5	0.0
1.5425216315E9	19669.5	0.0
1.5502535695E9	0.0	52793.0
1.5579855075E9	1012.6666666666666	0.0
1.5657174455E9	0.0	0.0
1.5734493835E9	1610.2	52793.0
1.5811813215E9	0.0	0.0
1.5889132595E9	0.0	0.0
1.5966451975E9	0.0	52793.0
1.6043771355E9	120.0	0.0
1.6121090735E9	0.0	0.0
1.6198410115E9	2485.0	52793.0
1.6275729495E9	362.0	0.0
1.6353048875E9	0.0	0.0
1.6430368255E9	0.0	52793.0
1.6507687635E9	439.8	0.0
1.6585007015E9	6552.0	0.0
1.6662326395E9	1278.1875	52793.0
1.672491119E9	669.4285714285714	0.0
1.676357088E9	126.0	0.0
1.6816965155E9	4697.0	52793.0
1.6894284535E9	141.0	0.0
1.6971603915E9	0.0	0.0
1.7048923295E9	944.0	52793.0
1.7126242675E9	2598.5	0.0
1.7203562055E9	690.0	0.0
1.7280881435E9	210.0	52793.0
1.7358200815E9	0.0	0.0
1.7435520195E9	675.25	0.0
1.7512839575E9	502.25	52793.0
1.7590158955E9	909.6666666666666	0.0
1.7667478335E9	7243.333333333333	0.0
1.7744797715E9	221.75	52793.0
1.7822117095E9	3565.0	0.0
1.7899436475E9	134.0	0.0
1.7976755855E9	1387.5	52793.0
1.805111303E9	114.0	0.0
1.808977272E9	0.0	0.0
1.8131394615E9	3708.0	52793.0
1.8208713995E9	0.0	0.0
1.8286033375E9	108.0	0.0
1.8363352755E9	0.0	52793.0
1.8440672135E9	143.0	0.0
1.8517991515E9	285.0	0.0
1.8595310895E9	0.0	52793.0
1.8672630275E9	661.8	0.0
1.8749949655E9	619.5	0.0
1.8827269035E9	925.8	52793.0
1.8904588415E9	82.0	0.0
1.8981907795E9	8083.0	0.0
1.9059227175E9	0.0	52793.0
1.9136546555E9	32541.333333333332	0.0
1.9213865935E9	3335.0	0.0
1.9291185315E9	2056.2	52793.0
1.9368504695E9	872.8	0.0
1.942242056E9	1765.0	0.0
1.946108025E9	279.3333333333333	52793.0
1.9523143455E9	597.0	0.0
1.9600462835E9	347.5	0.0
1.9677782215E9	0.0	52793.0
1.9755101595E9	290.0	0.0
1.9832420975E9	2073.0	0.0
1.9909740355E9	149.6	52793.0
1.9987059735E9	1003.7916666666666	0.0
2.0064379115E9	130.0	0.0
2.0141698495E9	7117.0	52793.0
2.0219017875E9	2052.0	0.0
2.0296337255E9	0.0	0.0
2.0373656635E9	378.0	52793.0
2.0450976015E9	2866.25	0.0
2.0528295395E9	472.6	0.0
2.0605614775E9	1411.142857142857	52793.0
2.0682934155E9	947.4285714285714	0.0
2.0746011835E9	135.0	0.0
2.0784671525E9	0.0	52793.0
2.0837572915E9	0.0	0.0
2.0914892295E9	0.0	0.0
2.0992211675E9	0.0	52793.0
2.1069531055E9	0.0	0.0
2.1146850435E9	0.0	0.0
2.1224169815E9	136.0	52793.0
2.1301489195E9	111.0	0.0
2.1378808575E9	0.0	0.0
2.1456127955E9	0.0	52793.0
2.1533447335E9	0.0	0.0
2.1610766715E9	0.0	0.0
2.1688086095E9	0.0	52793.0
2.1765405475E9	17525.0	0.0
2.1842724855E9	3773.5	0.0
2.1897728825E9	243.0	52793.0
2.1936388515E9	0.0	0.0
2.1997363615E9	0.0	0.0
2.2074682995E9	0.0	52793.0
2.2152002375E9	140.5	0.0
2.2229321755E9	0.0	0.0
2.2306641135E9	28032.0	52793.0
2.2383960515E9	2903.0	0.0
2.2461279895E9	1058.0	0.0
2.2538599275E9	0.0	52793.0
2.2615918655E9	9051.2	0.0
2.2693238035E9	2036.0	0.0
2.2770557415E9	866.0	52793.0
2.2847876795E9	2311.2	0.0
2.2925196175E9	409.0	0.0
2.2974183075E9	0.0	52793.0
2.3012842765E9	0.0	0.0
2.3079834935E9	0.0	0.0
2.3157154315E9	362.0	52793.0
2.3234473695E9	580.0	0.0
2.3311793075E9	0.0	0.0
2.3389112455E9	540.6	52793.0
2.3466431835E9	10758.666666666666	0.0
2.3543751215E9	1925.0	0.0
2.3621070595E9	1168.125	52793.0
2.3698389975E9	0.0	0.0
2.3775709355E9	0.0	0.0
2.3853028735E9	435.0	52793.0
2.3930348115E9	2370.0	0.0
2.398671499E9	0.0	0.0
2.402537468E9	1294.8	52793.0
2.4084986875E9	1664.4	0.0
2.4162306255E9	8108.5	0.0
2.4239625635E9	6229.0	52793.0
2.4316945015E9	366.3333333333333	0.0
2.4394264395E9	0.0	0.0
2.4471583775E9	0.0	52793.0
2.4548903155E9	31132.0	0.0
2.4626222535E9	0.0	0.0
2.4703541915E9	245.0	52793.0
2.4780861295E9	477.3333333333333	0.0
2.4858180675E9	346.4	0.0
2.4902322995E9	0.0	52793.0
2.4940982685E9	1187.3333333333333	0.0
2.5012819435E9	710.0	0.0
2.5090138815E9	9154.714285714286	52793.0
2.5167458195E9	111.0	0.0
2.5244777575E9	11133.5	0.0
2.5322096955E9	579.0909090909091	52793.0
2.5399416335E9	604.75	0.0
2.5476735715E9	836.5	0.0
2.5554055095E9	2139.375	52793.0
2.5631374475E9	1537.0	0.0
2.57052071E9	3569.923076923077	0.0
2.574386679E9	168.0	52793.0
2.5786013235E9	389.0	0.0
2.5863332615E9	2467.0	0.0
2.5940651995E9	139.0	52793.0
2.6017971375E9	0.0	0.0
2.6095290755E9	1033.5	0.0
2.6172610135E9	0.0	52793.0
2.6249929515E9	9780.5	0.0
2.6327248895E9	4015.5	0.0
2.6404568275E9	0.0	52793.0
2.6481887655E9	126.0	0.0
2.6532330115E9	92.0	0.0
2.6570989805E9	1039.857142857143	52793.0
2.6636526415E9	387.6666666666667	0.0
2.6713845795E9	2920.0	0.0
2.6791165175E9	0.0	52793.0
2.6868484555E9	107.0	0.0
2.6945803935E9	168.0	0.0
2.7023123315E9	2405.0	52793.0
2.7096036025E9	261.5	0.0
2.7134695715E9	0.0	0.0
2.7177762075E9	0.0	52793.0
2.7255081455E9	0.0	0.0
2.7332400835E9	130.0	0.0
2.7409720215E9	146.0	52793.0
2.7487039595E9	1810.909090909091	0.0
2.7564358975E9	0.0	0.0
2.7641678355E9	197.0	52793.0
2.7718997735E9	1221.0	0.0
2.776619407E9	724.5	0.0
2.780485376E9	0.0	52793.0
2.7873636495E9	176.86666666666667	0.0
2.7950955875E9	156.0	0.0
2.8028275255E9	0.0	52793.0
2.8105594635E9	77.0	0.0
2.8182914015E9	686.75	0.0
2.8231702125E9	204.66666666666666	52793.0
2.8270361815E9	0.0	0.0
2.8337552775E9	0.0	0.0
2.8414872155E9	267.3333333333333	52793.0
2.8492191535E9	201.0	0.0
2.8569510915E9	8829.857142857143	0.0
2.8646830295E9	744.5555555555555	52793.0
2.8717752605E9	909.25	0.0
2.8756412295E9	0.0	0.0
2.8801469055E9	0.0	52793.0
2.8878788435E9	12866.0	0.0
2.8956107815E9	0.0	0.0
2.9033427195E9	0.0	52793.0
2.9110746575E9	0.0	0.0
2.9188065955E9	2042.0	0.0
2.9265385335E9	656.5	52793.0
2.9342704715E9	273.0	0.0
2.9420024095E9	0.0	0.0
2.9497343475E9	1079.0	52793.0
2.9574662855E9	149.0	0.0
2.9651982235E9	0.0	0.0
2.9729301615E9	0.0	52793.0
2.9806620995E9	5165.0	0.0
2.9883940375E9	101.0	0.0
2.9961259755E9	0.0	52793.0
3.0038579135E9	0.0	0.0
3.0115898515E9	772.0	0.0
3.0193217895E9	0.0	52793.0
3.0270537275E9	753.0	0.0
3.030981057E9	0.0	0.0
3.034847026E9	0.0	52793.0
3.0425176035E9	0.0	0.0
3.0502495415E9	0.0	0.0
3.0579814795E9	0.0	52793.0
3.0657134175E9	0.0	0.0
3.0734453555E9	0.0	0.0
3.0811772935E9	0.0	52793.0
3.0866565475E9	0.0	0.0
3.088278117E9	234.12820512820514	0.0
3.0883778495E9	2441.0	52793.0
3.088551417E9	0.0	0.0
3.0887023955E9	0.0	0.0
3.0888595585E9	0.0	52793.0
3.089028436E9	0.0	0.0
3.0891986085E9	0.0	0.0
3.0893691085E9	285.3333333333333	52793.0
3.089539856E9	0.0	0.0
3.0896372065E9	0.0	0.0
3.0896458475E9	0.0	52793.0
3.0896479555E9	0.0	0.0
3.089650009E9	0.0	0.0
3.0896518275E9	0.0	52793.0
3.089653164E9	0.0	0.0
3.089659964E9	0.0	0.0
3.0896666625E9	0.0	52793.0
3.0896682995E9	0.0	0.0
3.0896701595E9	0.0	0.0
3.0896897265E9	0.0	52793.0
3.0897107795E9	0.0	0.0
3.0897237255E9	0.0	0.0
3.0897349835E9	0.0	52793.0
3.0897363295E9	0.0	0.0
3.089738505E9	0.0	0.0
3.0897405385E9	0.0	52793.0
3.0897417465E9	0.0	0.0
3.0897427835E9	0.0	0.0
3.089743857E9	0.0	52793.0
3.0897451315E9	0.0	0.0
3.0897465595E9	0.0	0.0
3.0897490385E9	0.0	52793.0
3.089751705E9	0.0	0.0
3.089754034E9	0.0	0.0
3.0897596215E9	0.0	52793.0
3.089765184E9	0.0	0.0
3.0897674115E9	0.0
3.089768962E9	0.0
3.0897710155E9	0.0
3.0897735325E9	0.0
3.0897752895E9	0.0
3.0897763815E9	0.0
3.089777428E9	0.0
3.0897789155E9	0.0
3.089781988E9	0.0
3.0897849705E9	0.0
3.0897866745E9	0.0
3.0897879985E9	0.0
3.0897893875E9	0.0
3.08979105E9	0.0
