#Position (bp)	mapping quality
3865969.5	44.78894472361809
1.15979075E7	25.41016607951686
1.93298455E7	58.50734725444702
2.70617835E7	255.0
3.47937215E7	34.93455497382199
4.25256595E7	165.0
5.02575975E7	2.180388146729907
5.79895355E7	255.0
6.57214735E7	255.0
7.34534115E7	0.0
8.11853495E7	0.0
8.89172875E7	84.4314381270903
9.66492255E7	95.32710280373831
1.043811635E8	0.0
1.121131015E8	18.128580196399344
1.198450395E8	255.0
1.275769775E8	0.0
1.353089155E8	0.0
1.430408535E8	255.0
1.507727915E8	54.35076057778346
1.585047295E8	99.8090692124105
1.662366675E8	14.203676058966225
1.739686055E8	4.826854899974677
1.817005435E8	209.5264505119454
1.894324815E8	0.0
1.971644195E8	0.0
2.048963575E8	255.0
2.126282955E8	255.0
2.203602335E8	38.84725050916497
2.280921715E8	21.53446311592139
2.358241095E8	0.0
2.435560475E8	255.0
2.481892195E8	249.84848484848484
2.520551885E8	0.0
2.590199235E8	255.0
2.667518615E8	255.0
2.744837995E8	255.0
2.822157375E8	5.570252469813392
2.899476755E8	0.0
2.976796135E8	0.0
3.054115515E8	85.85858585858585
3.131434895E8	0.0
3.208754275E8	255.0
3.286073655E8	0.0
3.363393035E8	8.00600126342388
3.440712415E8	255.0
3.518031795E8	246.25714285714287
3.595351175E8	0.0
3.672670555E8	0.0
3.749989935E8	0.0
3.827309315E8	255.0
3.904628695E8	0.0
3.981948075E8	0.0
4.059267455E8	0.0
4.136586835E8	20.703794369645042
4.213906215E8	0.0
4.291225595E8	0.0
4.368544975E8	0.0
4.445864355E8	255.0
4.523183735E8	7.43788933675339
4.600503115E8	0.0
4.677822495E8	53.324968632371395
4.755141875E8	6.320615301941291
4.832461255E8	255.0
4.89131023E8	0.0
4.92996992E8	0.0
4.987100015E8	6.336724482988659
5.064419395E8	242.72727272727272
5.141738775E8	255.0
5.219058155E8	0.0
5.296377535E8	7.991568565065224
5.373696915E8	255.0
5.451016295E8	116.43835616438356
5.528335675E8	0.0
5.605655055E8	0.0
5.682974435E8	0.0
5.760293815E8	0.0
5.837613195E8	0.0
5.914932575E8	0.0
5.992251955E8	255.0
6.069571335E8	17.14862138533961
6.146890715E8	0.0
6.224210095E8	89.90674955595027
6.301529475E8	17.739646347138205
6.378848855E8	255.0
6.456168235E8	255.0
6.533487615E8	0.0
6.610806995E8	255.0
6.688126375E8	249.84848484848484
6.765445755E8	10.311362717347352
6.842765135E8	133.7171792948237
6.887939965E8	9.136510211393766
6.926599655E8	251.13636363636363
6.997403895E8	11.449353448275861
7.074723275E8	0.0
7.152042655E8	0.0
7.229362035E8	0.0
7.306681415E8	39.442218798151
7.384000795E8	255.0
7.461320175E8	0.0
7.538639555E8	0.0
7.615958935E8	0.0
7.693278315E8	255.0
7.770597695E8	255.0
7.847917075E8	0.0
7.925236455E8	255.0
8.002555835E8	255.0
8.079875215E8	255.0
8.157194595E8	248.5279187817259
8.234513975E8	0.0
8.311833355E8	0.0
8.389152735E8	0.0
8.466472115E8	0.0
8.543791495E8	0.0
8.621110875E8	0.0
8.698430255E8	0.0
8.7668453E8	0.0
8.80550499E8	255.0
8.853069015E8	0.0
8.930388395E8	255.0
9.007707775E8	0.0
9.085027155E8	255.0
9.162346535E8	0.0
9.239665915E8	247.27272727272728
9.316985295E8	0.0
9.394304675E8	86.14864864864865
9.471624055E8	0.0
9.548943435E8	15.520389531345101
9.626262815E8	6.150909090909091
9.703582195E8	0.0
9.780901575E8	255.0
9.858220955E8	0.0
9.935540335E8	255.0
1.0012859715E9	0.0
1.0090179095E9	252.42424242424244
1.0167498475E9	255.0
1.0244817855E9	0.0
1.0322137235E9	43.93467777290662
1.0399456615E9	0.0
1.0476775995E9	255.0
1.0554095375E9	250.25265957446808
1.0602369155E9	251.11675126903555
1.0641028845E9	0.0
1.0708734135E9	97.51434034416826
1.0786053515E9	0.0
1.0863372895E9	253.28859060402684
1.0940692275E9	44.496908809891806
1.1018011655E9	95.98935750886874
1.1095331035E9	255.0
1.1172650415E9	255.0
1.1249969795E9	0.0
1.1327289175E9	38.941043083900226
1.1404608555E9	255.0
1.1481927935E9	0.0
1.1559247315E9	0.0
1.1636566695E9	255.0
1.1713886075E9	4.083593562334855
1.1791205455E9	11.977454203851574
1.1868524835E9	0.0
1.1945844215E9	255.0
1.2023163595E9	0.0
1.2100482975E9	1.589329676836299
1.2177802355E9	0.0
1.2255121735E9	0.0
1.230691223E9	0.0
1.234557192E9	0.0
1.2409760495E9	6.670588235294118
1.2487079875E9	255.0
1.2564399255E9	128.0
1.2641718635E9	55.57163531114327
1.2719038015E9	255.0
1.2796357395E9	43.55793991416309
1.2873676775E9	255.0
1.2950996155E9	3.0
1.3028315535E9	155.13333333333333
1.3105634915E9	31.97747183979975
1.3182954295E9	0.0
1.3260273675E9	14.358757062146893
1.3337593055E9	12.38480697384807
1.3414912435E9	255.0
1.3492231815E9	0.0
1.3569551195E9	255.0
1.3646870575E9	255.0
1.3724189955E9	11.400894187779434
1.3801509335E9	91.73780487804878
1.3876835895E9	255.0
1.3915495585E9	0.0
1.3956148095E9	255.0
1.4033467475E9	0.0
1.4110786855E9	0.0
1.4188106235E9	21.133986385522164
1.4265425615E9	21.303616484440706
1.4342744995E9	0.0
1.4420064375E9	27.34135667396061
1.4497383755E9	48.45489443378119
1.4574703135E9	60.93189964157706
1.4652022515E9	7.0582496205824965
1.4729341895E9	249.84848484848484
1.4806661275E9	255.0
1.4883980655E9	17.71047227926078
1.4961300035E9	4.104025467241733
1.5038619415E9	255.0
1.5115938795E9	255.0
1.5193258175E9	255.0
1.5270577555E9	255.0
1.5337063185E9	54.34426229508197
1.5375722875E9	19.449152542372882
1.5425216315E9	1.3601269451815503
1.5502535695E9	0.0
1.5579855075E9	87.8300803673938
1.5657174455E9	0.0
1.5734493835E9	20.655568903380814
1.5811813215E9	0.0
1.5889132595E9	0.0
1.5966451975E9	0.0
1.6043771355E9	1.0
1.6121090735E9	0.0
1.6198410115E9	15.781758957654723
1.6275729495E9	255.0
1.6353048875E9	0.0
1.6430368255E9	0.0
1.6507687635E9	153.86861313868613
1.6585007015E9	5.416231418240257
1.6662326395E9	33.9031266017427
1.672491119E9	63.275669642857146
1.676357088E9	255.0
1.6816965155E9	5.394072801460324
1.6894284535E9	252.43718592964825
1.6971603915E9	0.0
1.7048923295E9	255.0
1.7126242675E9	5.147355672184093
1.7203562055E9	255.0
1.7280881435E9	255.0
1.7358200815E9	0.0
1.7435520195E9	255.0
1.7512839575E9	62.23121563836286
1.7590158955E9	67.02857142857142
1.7667478335E9	255.0
1.7744797715E9	250.5037783375315
1.7822117095E9	9.640831758034027
1.7899436475E9	255.0
1.7976755855E9	54.140127388535035
1.805111303E9	255.0
1.808977272E9	0.0
1.8131394615E9	4.732142857142857
1.8208713995E9	0.0
1.8286033375E9	239.4512195121951
1.8363352755E9	0.0
1.8440672135E9	255.0
1.8517991515E9	255.0
1.8595310895E9	0.0
1.8672630275E9	109.41903019213174
1.8749949655E9	203.53045325779036
1.8827269035E9	56.80636485880771
1.8904588415E9	255.0
1.8981907795E9	5.069430569430569
1.9059227175E9	0.0
1.9136546555E9	3.033547466095646
1.9213865935E9	7.897181790027872
1.9291185315E9	43.731884057971016
1.9368504695E9	98.07692307692308
1.942242056E9	255.0
1.946108025E9	255.0
1.9523143455E9	79.65968586387434
1.9600462835E9	73.6082474226804
1.9677782215E9	0.0
1.9755101595E9	3.0
1.9832420975E9	6.481670711457402
1.9909740355E9	252.14067278287462
1.9987059735E9	103.66176997491938
2.0064379115E9	255.0
2.0141698495E9	0.0288086642599278
2.0219017875E9	194.00763358778627
2.0296337255E9	0.0
2.0373656635E9	255.0
2.0450976015E9	11.482338336530866
2.0528295395E9	168.42175066312998
2.0605614775E9	35.921552087726695
2.0682934155E9	45.254448398576514
