Submitter	bases	rel_bases
Purdue University	4.61764348526e+12	0.000388089243732
Texas A&M University	4.53782711788e+12	0.000381381087558
RIKEN_OSC	4.50764492415e+12	0.000378844429027
University of Wisconsin-Madison	4.45744408782e+12	0.000374625306293
UPENN-phs000835	4.43396754726e+12	0.000372652223507
UPSC	4.43173580932e+12	0.000372464657384
WEIZMANN INSTITUE OF SCIENCE	4.37985593346e+12	0.000368104419992
DOE-Joint Genome Institute	4.37754089628e+12	0.000367909852995
NCI-phs001027	4.32886694045e+12	0.000363819056733
UWGS-RW	4.24934081363e+12	0.000357135293789
BDGP	4.22513460264e+12	0.000355100885947
Bilkent University	4.17238868053e+12	0.000350667861811
University of California, Riverside	4.13013539665e+12	0.000347116690085
Shanghai Institutes for Biological Sciences	4.10773889628e+12	0.000345234379136
USDA-ARS-USMARC	4.06262107884e+12	0.000341442458061
UMAG	4.0259878531e+12	0.000338363623387
OIST	3.96438729888e+12	0.000333186412852
Wageningen University	3.94352716114e+12	0.0003314332253
Children's Hospital Boston and Harvard Medical Sch	3.92329794491e+12	0.000329733063463
IPK-Gatersleben	3.87160976282e+12	0.000325388936949
Yale-phs000933	3.8588232868e+12	0.000324314299241
NCI-phs001072	3.85078937766e+12	0.000323639090397
UC Davis	3.84053145942e+12	0.000322776964998
China Agricultural University	3.82691127129e+12	0.000321632258065
ICL-CFB	3.81604086235e+12	0.000320718655966
Duke University	3.81049878832e+12	0.000320252873077
UC Berkeley	3.70541304638e+12	0.000311420955618
University_of_Washington_Genome_Sciences	3.62925394353e+12	0.000305020173764
University of Florida	3.60096875886e+12	0.000302642949112
CSIRO	3.49751379186e+12	0.000293948089921
TGEN-phs001036	3.4942408545e+12	0.000293673016328
NIOB	3.49193054406e+12	0.000293478846588
UPF-CSIC	3.47056179054e+12	0.000291682912489
Boyce Thompson Institute	3.42628119104e+12	0.000287961355287
Huazhong Agricultural University	3.39372519693e+12	0.000285225191013
The Salk Institute for Biological Studies	3.37998653719e+12	0.000284070527149
University of Illinois at Urbana-Champaign	3.32277585944e+12	0.000279262263208
KYUSH-MIB	3.32232783684e+12	0.000279224609207
University of California, Berkeley	3.31386109374e+12	0.000278513022888
Zhejiang University	3.25654137534e+12	0.00027369559464
Institute of Vegetables and Flowers, Chinese Acade	3.2197395503e+12	0.000270602590061
University of Sussex	3.19535567776e+12	0.000268553250678
SEOUL NATIONAL UNIVERSITY	3.14728430022e+12	0.000264513098029
Cancer Science Istitute	3.10409155914e+12	0.000260882969746
Mayo Clinic	3.09165214222e+12	0.000259837500575
Academia Sinica	3.08087996021e+12	0.000258932153944
GBRU	3.05154468512e+12	0.00025646667458
NCI-KHAN	3.03058058452e+12	0.000254704749483
Novogene Bioinformatics Technology CO.ltd	3.01855348371e+12	0.000253693933366
Chinese Academy of Agricultural Sciences	3.00274217362e+12	0.000252365073874
UWGS-JS	2.99051441586e+12	0.00025133739357
Beijing Institute of Genomics, Chinese Academy of	2.96861697794e+12	0.000249497026259
Kansas State University	2.93991392105e+12	0.000247084681591
UNIVERSITY COLLEGE LONDON	2.92546157322e+12	0.000245870035905
Lanzhou University	2.90146256493e+12	0.000243853042387
Rockefeller University	2.88417020852e+12	0.000242399708551
Boston Children's Hospital	2.87639153304e+12	0.000241745950786
Geuvadis	2.84072625702e+12	0.00023874846732
University of Copenhagen	2.82489653593e+12	0.000237418060478
RIKEN_CLST_DGT	2.81914222846e+12	0.000236934440459
OHSU	2.8112405613e+12	0.000236270345874
OSUMC-phs000830	2.80316290476e+12	0.000235591460285
Institute of Marine Research	2.79150245744e+12	0.000234611459512
Cold Spring Harbor Laboratory	2.78334857971e+12	0.000233926167923
UPPSALA UNIVERSITET	2.77602089627e+12	0.000233310313725
Sichuan Agricultural University	2.74259694003e+12	0.000230501201688
Oregon State University	2.72559793115e+12	0.000229072522206
Plant Research International	2.715697397e+12	0.000228240433106
NIA-phs000249	2.71472757915e+12	0.000228158924892
Cold Spring Harbor Lab	2.71119143161e+12	0.000227861729834
Battelle Memorial Institute	2.6660574076e+12	0.000224068446679
New York University	2.62416059168e+12	0.000220547234256
Vanderbilt University	2.60914738312e+12	0.000219285451103
novogene	2.58633551226e+12	0.000217368230396
MAX PLANCK INSTITUTE FOR  EVOLUTIONARY BIOLOGY	2.57618303916e+12	0.00021651496712
Columbia University	2.57010567452e+12	0.000216004195802
Cleveland Clinic	2.56509533249e+12	0.000215583102261
Stowers Institute for Medical Research	2.53548717077e+12	0.000213094688175
Harvard Medical School	2.52984716509e+12	0.000212620674635
Icahn School of Medicine at Mount Sinai	2.52087547676e+12	0.00021186665026
People’ s Hospital of Tibet Autonomous Region	2.5129758582e+12	0.00021120272785
Monsanto	2.5110782578e+12	0.000211043244272
Duke-phs000645	2.51077811532e+12	0.000211018018837
EMBL	2.50555467098e+12	0.000210579015139
ILLUMINA-phs001224	2.501986223e+12	0.000210279105395
Kunming Institute of Zoology, CAS	2.50112635566e+12	0.000210206837957
tgen-phs000748	2.46448240372e+12	0.000207127101801
Simon Fraser University	2.45721185641e+12	0.000206516049601
The University of Hong Kong	2.45644889453e+12	0.00020645192657
Dana-Farber Cancer Institute	2.4551468335e+12	0.00020634249502
Yunnan University, Kunming, China	2.44623590774e+12	0.000205593577428
EDLB-CDC	2.43337664352e+12	0.000204512822247
University of Alberta	2.43113323874e+12	0.000204324275585
USDA-FSIS	2.4275374435e+12	0.000204022067443
BaseSpace	2.4265549445e+12	0.000203939493443
MPI-EVA	2.42284940307e+12	0.000203628061697
NIEHS-phs001182	2.40715707726e+12	0.000202309202224
Samsung Medical Center	2.4024980899e+12	0.000201917638239
445 N Fifth St	2.37249498715e+12	0.000199396031387
Uppsala  University	2.36420599947e+12	0.0001986993845
UC-DPGP	2.35670582005e+12	0.0001980690329
Memorial Sloan Kettering Cancer Center	2.35367801499e+12	0.000197814561419
GMI, SNU	2.35235067386e+12	0.000197703005207
INRA JOUY-EN-JOSAS	2.33634739337e+12	0.000196358011588
GMISNU	2.33077721101e+12	0.000195889866339
JAX	2.32326967421e+12	0.000195258896389
King Abdullah University of Science and Technology	2.31999741591e+12	0.000194983879868
Nanjing University	2.31702328566e+12	0.000194733919479
ModMedMicOxford	2.31661958687e+12	0.000194699990667
NIH-phs000720	2.28744295144e+12	0.000192247844152
Bellvitge Biomedical Research Institute	2.28231604999e+12	0.000191816954389
University of Maryland	2.2811508198e+12	0.00019171902277
University of Victoria	2.27945180262e+12	0.000191576229093
phs000846-NHGRI	2.25873843488e+12	0.000189835376806
IRIDIAN GENOMES	2.25743325584e+12	0.000189725683204
NIBB	2.25095944518e+12	0.000189181592633
DNALINK, INC.	2.2478502534e+12	0.000188920281015
University of Pennsylvania	2.24221368464e+12	0.00018844655633
Albert Einstein College of Medicine	2.23660150217e+12	0.000187974881188
uw-phs000738	2.23036124441e+12	0.000187450419539
UN-NHPGC	2.21311578845e+12	0.000186001027445
University of Cambridge	2.2129886407e+12	0.000185990341328
Johns Hopkins University	2.19237881742e+12	0.000184258191422
USDA ARS	2.18593878328e+12	0.000183716939594
BETTINA HARR	2.13573602827e+12	0.000179497655605
Huazhong Agriculture University	2.13492770154e+12	0.00017942971989
chori-phs000481	2.13312552687e+12	0.000179278256355
Aarhus University	2.13197288374e+12	0.000179181382614
FDA	2.09691253082e+12	0.000176234739831
UOL_CGR	2.06946803294e+12	0.00017392817059
Realbio	2.05974917219e+12	0.000173111350208
Institute of Cotton Research, Chinese Academy of A	2.05043522074e+12	0.000172328560374
Shanghai Center for Systems Biomedicine, Shanghai 	2.04754760007e+12	0.000172085870672
Kunming Institute of Zoology	2.0452863143e+12	0.000171895821206
NHGRI-phs000730	2.03072125071e+12	0.000170671702338
PFIZER	2.0250014702e+12	0.000170190984132
Northwestern University	1.9965150651e+12	0.000167796847935
