Study Accession	terabases	rel_bases
SRP067114	1047.52026036	0.0856391783224
SRP062442	886.896911206	0.0725075453019
SRP067333	458.782759379	0.0375074163514
SRP070608	299.723368001	0.0245036434435
SRP070605	286.856197304	0.0234516982282
SRP068578	284.470974207	0.0232566962279
SRP064110	265.323299641	0.0216912934584
SRP066952	262.130651258	0.0214302810518
SRP011999	247.869328669	0.0202643580672
SRP070609	178.614839104	0.0146025128448
