#Transcript position	Transcript coverage profile
0.0	0.6448907442989307
1.0	0.6338743544315396
2.0	0.596152732295906
3.0	0.6676122992867157
4.0	0.7060977198087014
5.0	0.7399963650726774
6.0	0.7433250049616622
7.0	0.6987333225126414
8.0	0.7302067410568104
9.0	0.7455008856459177
10.0	0.7756936519894998
11.0	0.7514342988600924
12.0	0.7052431628535513
13.0	0.6703374810472962
14.0	0.6676816454421275
15.0	0.6115467783258507
16.0	0.6142306732483698
17.0	0.6490080001564503
18.0	0.7329709058398741
19.0	0.8100010702407324
20.0	0.855553932960806
21.0	0.9196993487017239
22.0	0.9709349969989296
23.0	0.9780783186680436
24.0	0.9244620428001395
25.0	0.9193748091977844
26.0	0.9429038759823574
27.0	0.9799395885224613
28.0	0.9922859661230936
29.0	1.0088369075053107
30.0	1.0224681174983858
31.0	1.0615744924245807
32.0	1.10652331847383
33.0	1.1127245900555107
34.0	1.0814938877131266
35.0	1.075660128878735
36.0	1.0651602661522979
37.0	0.9700911749450032
38.0	0.9280183288760415
39.0	0.9072747190872267
40.0	0.8946169631861658
41.0	0.8470886103267574
42.0	0.8758722744331436
43.0	0.9099007784915858
44.0	0.9293590081693013
45.0	0.896844854719549
46.0	0.9078761545697256
47.0	0.9320757169712218
48.0	0.9481562576363244
49.0	0.9855356077205707
50.0	1.0653577050092757
51.0	1.1320226222757122
52.0	1.162191587521714
53.0	1.1555047325436598
54.0	1.1043198035923945
55.0	1.1139655718311934
56.0	1.0339690370862693
57.0	0.9979751254394678
58.0	0.9610887783844994
59.0	0.9801701054877656
60.0	0.9441654976723043
61.0	0.980274819296744
62.0	0.9339490661865331
63.0	0.9641163602590166
64.0	0.9804561735367273
65.0	0.996442089667634
66.0	0.9258046049205572
67.0	0.9489796182575125
68.0	0.9796579566380975
69.0	0.9676140543471066
70.0	0.9271009360640757
71.0	0.8768053558522119
72.0	0.8810012336910574
73.0	0.891582963801456
74.0	0.9647233868941971
75.0	0.9133061150322892
76.0	0.9071287017839639
77.0	0.9208507853937632
78.0	0.8789445885053513
79.0	0.8982798257079252
80.0	0.8673047163169834
81.0	0.8404948022393178
82.0	0.8237677761452868
83.0	0.7489151166791064
84.0	0.7370073816087177
85.0	0.6474476620514467
86.0	0.6498262270202713
87.0	0.6889955701959316
88.0	0.6744324381587624
89.0	0.6270296553932279
90.0	0.6159604255788312
91.0	0.6215563665970772
92.0	0.5314731130662992
93.0	0.4166028992330366
94.0	0.3074295515628313
95.0	0.2108238047405551
96.0	0.16538722907702044
97.0	0.09623095691174549
98.0	0.04425463233689933
99.0	0.0066940816559262015
