#Transcript position	Transcript coverage profile
0.0	1.992895932627325
1.0	2.0805497462219673
2.0	2.0744310946819295
3.0	2.2952892647531384
4.0	2.219608261454826
5.0	2.1549706454906477
6.0	2.1716484227665664
7.0	2.09737636867353
8.0	2.125747833888407
9.0	2.079952254434845
10.0	2.1347864584275626
11.0	2.2193880566588318
12.0	2.0946489246415143
13.0	1.9642099424379564
14.0	2.187987685048457
15.0	1.9454188858380057
16.0	1.9560530529213582
17.0	1.9465575201240073
18.0	2.014795728863939
19.0	2.20040189553657
20.0	2.2789269645298074
21.0	2.341010437943485
22.0	2.460175632796098
23.0	2.4560485158328342
24.0	2.367302438751042
25.0	2.3085621801969594
26.0	2.4042327260258727
27.0	2.3475789626806853
28.0	2.3944728107969744
29.0	2.4641490876010437
30.0	2.585290340433833
31.0	2.6954716525910607
32.0	2.739590321098795
33.0	2.6817716510926144
34.0	2.6213082279199944
35.0	2.729477567921736
36.0	2.6173340951633204
37.0	2.522263550427361
38.0	2.4863669587447244
39.0	2.4089118576242794
40.0	2.392748875678835
41.0	2.355275836750368
42.0	2.3160465999361635
43.0	2.4939494925285532
44.0	2.6285153470822937
45.0	2.5567966313753896
46.0	2.615278205486536
47.0	2.755186056627483
48.0	2.6786864165034903
49.0	2.8224299651832796
50.0	2.909161264045921
51.0	2.8595277166596147
52.0	2.783949846320088
53.0	2.8083786443763312
54.0	2.5883117363193855
55.0	2.550186620063888
56.0	2.6538639505656207
57.0	2.6345985141257726
58.0	2.529899879898764
59.0	2.572605031856679
60.0	2.6494232589195765
61.0	2.5956069657114553
62.0	2.424112712609182
63.0	2.3326874873829793
64.0	2.39765203658145
65.0	2.359963723059312
66.0	2.2310781317035344
67.0	2.279627189945375
68.0	2.2516851310612958
69.0	2.3120463721593305
70.0	2.329094379178454
71.0	2.2701488295334196
72.0	2.5116692339653697
73.0	2.6646216181200897
74.0	2.644465253787094
75.0	2.4991450235917334
76.0	2.3911133792984347
77.0	2.250255598142696
78.0	2.12955472761768
79.0	2.2823924965999827
80.0	2.392838162188159
81.0	2.378436764583787
82.0	2.3782090901530393
83.0	2.2178981256008856
84.0	2.0086341412443827
85.0	1.9318358781340268
86.0	1.9426968458085625
87.0	2.1949872202507077
88.0	2.340914337329098
89.0	2.2805542470204014
90.0	2.249169150318563
91.0	2.211141583124409
92.0	1.9308223884721898
93.0	1.6724060467682216
94.0	1.519086053593037
95.0	1.2635252741981875
96.0	0.9594365763986922
97.0	0.6788320301281919
98.0	0.5224695780403813
99.0	0.1794621832237024
