#Position (bp)	mapping quality
3865969.5	39.55813953488372
1.15979075E7	0.0
1.93298455E7	53.666666666666664
2.70617835E7	60.0
3.47937215E7	60.0
4.25256595E7	48.0
5.02575975E7	60.0
5.79895355E7	60.0
6.57214735E7	60.0
7.34534115E7	60.0
8.11853495E7	0.0
8.89172875E7	0.0
9.66492255E7	60.0
1.043811635E8	60.0
1.121131015E8	60.0
1.198450395E8	0.0
1.275769775E8	0.0
1.353089155E8	0.0
1.430408535E8	15.0
1.507727915E8	60.0
1.585047295E8	60.0
1.662366675E8	60.0
1.739686055E8	59.45945945945946
1.817005435E8	60.0
1.894324815E8	60.0
1.971644195E8	60.0
2.048963575E8	60.0
2.126282955E8	53.48148148148148
2.203602335E8	60.0
2.280921715E8	45.21897810218978
2.358241095E8	60.0
2.435560475E8	60.0
2.481892195E8	0.0
2.520551885E8	60.0
2.590199235E8	60.0
2.667518615E8	0.0
2.744837995E8	0.0
2.822157375E8	60.0
2.899476755E8	60.0
2.976796135E8	0.0
3.054115515E8	54.0
3.131434895E8	60.0
3.208754275E8	0.0
3.286073655E8	0.0
3.363393035E8	60.0
3.440712415E8	60.0
3.518031795E8	60.0
3.595351175E8	60.0
3.672670555E8	0.0
3.749989935E8	60.0
3.827309315E8	0.0
3.904628695E8	0.0
3.981948075E8	60.0
4.059267455E8	0.0
4.136586835E8	60.0
4.213906215E8	60.0
4.291225595E8	60.0
4.368544975E8	60.0
4.445864355E8	60.0
4.523183735E8	0.0
4.600503115E8	60.0
4.677822495E8	60.0
4.755141875E8	60.0
4.832461255E8	60.0
4.89131023E8	60.0
4.92996992E8	0.0
4.987100015E8	60.0
5.064419395E8	60.0
5.141738775E8	60.0
5.219058155E8	60.0
5.296377535E8	37.5
5.373696915E8	60.0
5.451016295E8	60.0
5.528335675E8	60.0
5.605655055E8	0.0
5.682974435E8	60.0
5.760293815E8	49.32596685082873
5.837613195E8	57.0
5.914932575E8	54.45985401459854
5.992251955E8	60.0
6.069571335E8	60.0
6.146890715E8	60.0
6.224210095E8	60.0
6.301529475E8	59.67032967032967
6.378848855E8	60.0
6.456168235E8	60.0
6.533487615E8	60.0
6.610806995E8	60.0
6.688126375E8	59.19282511210762
6.765445755E8	60.0
6.842765135E8	55.85130111524163
6.887939965E8	0.0
6.926599655E8	60.0
6.997403895E8	60.0
7.074723275E8	60.0
7.152042655E8	60.0
7.229362035E8	60.0
7.306681415E8	60.0
7.384000795E8	0.0
7.461320175E8	60.0
7.538639555E8	60.0
7.615958935E8	60.0
7.693278315E8	60.0
7.770597695E8	60.0
7.847917075E8	60.0
7.925236455E8	60.0
8.002555835E8	60.0
