HWI-D00733:32:C6T3KANXX:2:1101:1309:2105
HWI-D00733:32:C6T3KANXX:2:1101:4186:2226
HWI-D00733:32:C6T3KANXX:2:1101:2905:2189
HWI-D00733:32:C6T3KANXX:2:1101:3652:2171
HWI-D00733:32:C6T3KANXX:2:1101:3011:2193
HWI-D00733:32:C6T3KANXX:2:1101:1480:2127
HWI-D00733:32:C6T3KANXX:2:1101:1796:2184
