#Read position (bp)	Clipping profile
0.0	14.285714285714285
1.0	9.937888198757763
2.0	5.590062111801243
3.0	4.968944099378882
4.0	4.968944099378882
5.0	4.3478260869565215
6.0	2.484472049689441
7.0	2.484472049689441
8.0	2.484472049689441
9.0	1.8633540372670807
10.0	1.2422360248447204
11.0	0.6211180124223602
12.0	0.6211180124223602
13.0	0.6211180124223602
14.0	0.6211180124223602
15.0	0.6211180124223602
16.0	0.6211180124223602
17.0	0.6211180124223602
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.6211180124223602
22.0	0.6211180124223602
23.0	0.6211180124223602
24.0	0.6211180124223602
25.0	0.6211180124223602
26.0	1.2422360248447204
27.0	1.2422360248447204
28.0	1.2422360248447204
29.0	1.2422360248447204
30.0	1.2422360248447204
31.0	1.2422360248447204
32.0	1.2422360248447204
33.0	1.2422360248447204
34.0	1.2422360248447204
35.0	1.2422360248447204
36.0	1.2422360248447204
37.0	1.2422360248447204
38.0	1.2422360248447204
39.0	1.2422360248447204
40.0	1.2422360248447204
41.0	0.6211180124223602
42.0	0.6211180124223602
43.0	0.6211180124223602
44.0	0.6211180124223602
45.0	0.6211180124223602
46.0	0.6211180124223602
47.0	1.2422360248447204
48.0	3.7267080745341614
49.0	10.559006211180124
