#Position (bp)	insert size	chromosomes
3865969.5	1500.5	0.0
1.15979075E7	364.4	44866.0
1.93298455E7	342.0	0.0
2.70617835E7	139.0	0.0
3.47937215E7	2000.0	44866.0
4.25256595E7	1549.0	0.0
5.02575975E7	11780.0	0.0
5.79895355E7	0.0	44866.0
6.57214735E7	3706.0	0.0
7.34534115E7	0.0	0.0
8.11853495E7	0.0	44866.0
8.89172875E7	199.0	0.0
9.66492255E7	0.0	0.0
1.043811635E8	0.0	44866.0
1.121131015E8	1815.5	0.0
1.198450395E8	7491.0	0.0
1.275769775E8	0.0	44866.0
1.353089155E8	0.0	0.0
1.430408535E8	0.0	0.0
1.507727915E8	324.0	44866.0
1.585047295E8	979.2222222222222	0.0
1.662366675E8	260.3333333333333	0.0
1.739686055E8	327.0	44866.0
1.817005435E8	270.5	0.0
1.894324815E8	0.0	0.0
1.971644195E8	0.0	44866.0
2.048963575E8	5177.5	0.0
2.126282955E8	2697.0	0.0
2.203602335E8	0.0	44866.0
2.280921715E8	1668.0	0.0
2.358241095E8	319.0	0.0
2.435560475E8	0.0	44866.0
2.481892195E8	0.0	0.0
2.520551885E8	332.0	0.0
2.590199235E8	0.0	44866.0
2.667518615E8	0.0	0.0
2.744837995E8	13450.0	0.0
2.822157375E8	15153.0	44866.0
2.899476755E8	2273.0	0.0
2.976796135E8	0.0	0.0
3.054115515E8	0.0	44866.0
3.131434895E8	0.0	0.0
3.208754275E8	191.0	0.0
3.286073655E8	0.0	44866.0
3.363393035E8	568.0	0.0
3.440712415E8	0.0	0.0
3.518031795E8	1496.0	44866.0
3.595351175E8	0.0	0.0
3.672670555E8	0.0	0.0
3.749989935E8	0.0	44866.0
3.827309315E8	0.0	0.0
3.904628695E8	0.0	0.0
3.981948075E8	461.0	44866.0
4.059267455E8	210.0	0.0
4.136586835E8	0.0	0.0
4.213906215E8	5639.25	44866.0
4.291225595E8	0.0	0.0
4.368544975E8	9726.0	0.0
4.445864355E8	2232.0	44866.0
4.523183735E8	1573.2	0.0
4.600503115E8	28268.0	0.0
4.677822495E8	316.6666666666667	44866.0
4.755141875E8	2270.0	0.0
4.832461255E8	244.0	0.0
4.89131023E8	211.0	44866.0
4.92996992E8	0.0	0.0
4.987100015E8	0.0	0.0
5.064419395E8	0.0	44866.0
5.141738775E8	2356.0	0.0
5.219058155E8	0.0	0.0
5.296377535E8	0.0	44866.0
5.373696915E8	959.0	0.0
5.451016295E8	337.5	0.0
5.528335675E8	269.0	44866.0
5.605655055E8	191.0	0.0
5.682974435E8	0.0	0.0
5.760293815E8	0.0	44866.0
5.837613195E8	0.0	0.0
5.914932575E8	216.0	0.0
5.992251955E8	109.0	44866.0
6.069571335E8	449.0	0.0
6.146890715E8	44866.0	0.0
6.224210095E8	833.25	44866.0
6.301529475E8	0.0	0.0
6.378848855E8	7576.5	0.0
6.456168235E8	1500.0	44866.0
6.533487615E8	0.0	0.0
6.610806995E8	0.0	0.0
6.688126375E8	0.0	44866.0
6.765445755E8	2713.75	0.0
6.842765135E8	2285.5714285714284	0.0
6.887939965E8	0.0	44866.0
6.926599655E8	246.0	0.0
6.997403895E8	10740.0	0.0
7.074723275E8	0.0	44866.0
7.152042655E8	0.0	0.0
7.229362035E8	0.0	0.0
7.306681415E8	3349.5	44866.0
7.384000795E8	232.0	0.0
7.461320175E8	15676.5	0.0
7.538639555E8	0.0	44866.0
7.615958935E8	0.0	0.0
7.693278315E8	170.66666666666666	0.0
7.770597695E8	0.0	44866.0
7.847917075E8	0.0	0.0
7.925236455E8	0.0	0.0
8.002555835E8	300.0	44866.0
8.079875215E8	598.0	0.0
8.157194595E8	0.0	0.0
8.234513975E8	0.0	44866.0
8.311833355E8	0.0	0.0
8.389152735E8	1211.0	0.0
8.466472115E8	0.0	44866.0
8.543791495E8	105.0	0.0
8.621110875E8	0.0	0.0
8.698430255E8	0.0	44866.0
8.7668453E8	0.0	0.0
8.80550499E8	0.0	0.0
8.853069015E8	0.0	44866.0
8.930388395E8	275.0	0.0
9.007707775E8	0.0	0.0
9.085027155E8	263.0	44866.0
9.162346535E8	156.0	0.0
9.239665915E8	984.0	0.0
9.316985295E8	0.0	44866.0
9.394304675E8	0.0	0.0
9.471624055E8	7119.0	0.0
9.548943435E8	3286.5	44866.0
9.626262815E8	610.3333333333334	0.0
9.703582195E8	0.0	0.0
9.780901575E8	0.0	44866.0
9.858220955E8	244.0	0.0
9.935540335E8	189.0	0.0
1.0012859715E9	0.0	44866.0
1.0090179095E9	0.0	0.0
1.0167498475E9	467.5	0.0
1.0244817855E9	2250.0	44866.0
1.0322137235E9	562.5	0.0
1.0399456615E9	2622.0	0.0
1.0476775995E9	1414.0	44866.0
1.0554095375E9	1025.3333333333333	0.0
1.0602369155E9	2354.0	0.0
1.0641028845E9	223.0	44866.0
1.0708734135E9	0.0	0.0
1.0786053515E9	290.0	0.0
1.0863372895E9	365.0	44866.0
1.0940692275E9	3576.6	0.0
1.1018011655E9	331.0	0.0
1.1095331035E9	0.0	44866.0
1.1172650415E9	0.0	0.0
1.1249969795E9	432.0	0.0
1.1327289175E9	0.0	44866.0
1.1404608555E9	0.0	0.0
1.1481927935E9	5519.0	0.0
1.1559247315E9	0.0	44866.0
1.1636566695E9	6328.0	0.0
1.1713886075E9	142.0	0.0
1.1791205455E9	0.0	44866.0
1.1868524835E9	0.0	0.0
1.1945844215E9	4088.0	0.0
1.2023163595E9	0.0	44866.0
1.2100482975E9	0.0	0.0
1.2177802355E9	1868.0	0.0
1.2255121735E9	0.0	44866.0
1.230691223E9	0.0	0.0
1.234557192E9	272.0	0.0
1.2409760495E9	474.3333333333333	44866.0
1.2487079875E9	158.0	0.0
1.2564399255E9	6461.0	0.0
1.2641718635E9	0.0	44866.0
1.2719038015E9	0.0	0.0
1.2796357395E9	3023.5	0.0
1.2873676775E9	1913.5	44866.0
1.2950996155E9	0.0	0.0
1.3028315535E9	2881.0	0.0
