#Position (bp)	mapping quality
3865969.5	61.629279811097994
1.15979075E7	255.0
1.93298455E7	255.0
2.70617835E7	244.8
3.47937215E7	24.500321336760926
4.25256595E7	20.765472312703583
5.02575975E7	2.167998639687128
5.79895355E7	0.0
6.57214735E7	255.0
7.34534115E7	0.0
8.11853495E7	0.0
8.89172875E7	242.25
9.66492255E7	0.0
1.043811635E8	0.0
1.121131015E8	30.22867298578199
1.198450395E8	5.4261149919398175
1.275769775E8	0.0
1.353089155E8	0.0
1.430408535E8	0.0
1.507727915E8	255.0
1.585047295E8	181.968
1.662366675E8	255.0
1.739686055E8	252.03488372093022
1.817005435E8	255.0
1.894324815E8	0.0
1.971644195E8	0.0
2.048963575E8	9.884678747940692
2.126282955E8	255.0
2.203602335E8	0.0
2.280921715E8	19.72972972972973
2.358241095E8	255.0
2.435560475E8	0.0
2.481892195E8	0.0
2.520551885E8	255.0
2.590199235E8	0.0
2.667518615E8	0.0
2.744837995E8	0.9824992324224747
2.822157375E8	246.94736842105263
2.899476755E8	242.25
2.976796135E8	0.0
3.054115515E8	0.0
3.131434895E8	0.0
3.208754275E8	255.0
3.286073655E8	0.0
3.363393035E8	247.35
3.440712415E8	0.0
3.518031795E8	255.0
3.595351175E8	0.0
3.672670555E8	0.0
3.749989935E8	0.0
3.827309315E8	0.0
3.904628695E8	0.0
3.981948075E8	93.84758364312268
4.059267455E8	255.0
4.136586835E8	0.0
4.213906215E8	17.259014847984915
4.291225595E8	0.0
4.368544975E8	10.87940792337832
4.445864355E8	25.98064187468161
4.523183735E8	13.827026263767298
4.600503115E8	0.9070859419464997
4.677822495E8	255.0
4.755141875E8	255.0
4.832461255E8	247.35
4.89131023E8	255.0
4.92996992E8	0.0
4.987100015E8	0.0
5.064419395E8	0.0
5.141738775E8	78.94736842105263
5.219058155E8	0.0
5.296377535E8	0.0
5.373696915E8	171.0
5.451016295E8	255.0
5.528335675E8	255.0
5.605655055E8	255.0
5.682974435E8	0.0
5.760293815E8	0.0
5.837613195E8	0.0
5.914932575E8	255.0
5.992251955E8	255.0
6.069571335E8	255.0
6.146890715E8	0.8659037658324561
6.224210095E8	36.27311522048364
6.301529475E8	0.0
6.378848855E8	10.806032677000418
6.456168235E8	22.07792207792208
6.533487615E8	0.0
6.610806995E8	0.0
6.688126375E8	0.0
6.765445755E8	255.0
6.842765135E8	54.811561801341426
6.887939965E8	0.0
6.926599655E8	255.0
6.997403895E8	12.487757100881488
7.074723275E8	0.0
7.152042655E8	0.0
7.229362035E8	0.0
7.306681415E8	3.510538641686183
7.384000795E8	255.0
7.461320175E8	29.092983456930977
7.538639555E8	0.0
7.615958935E8	0.0
7.693278315E8	248.1772575250836
7.770597695E8	0.0
7.847917075E8	0.0
7.925236455E8	0.0
8.002555835E8	255.0
8.079875215E8	45.63653136531365
8.157194595E8	0.0
8.234513975E8	0.0
8.311833355E8	0.0
8.389152735E8	255.0
8.466472115E8	0.0
8.543791495E8	255.0
8.621110875E8	0.0
8.698430255E8	0.0
8.7668453E8	0.0
8.80550499E8	0.0
8.853069015E8	0.0
8.930388395E8	255.0
9.007707775E8	0.0
9.085027155E8	255.0
9.162346535E8	255.0
9.239665915E8	37.72189349112426
9.316985295E8	0.0
9.394304675E8	0.0
9.471624055E8	136.33333333333334
9.548943435E8	81.21019108280255
9.626262815E8	51.03459972862958
9.703582195E8	0.0
9.780901575E8	0.0
9.858220955E8	255.0
9.935540335E8	255.0
1.0012859715E9	0.0
1.0090179095E9	0.0
1.0167498475E9	255.0
1.0244817855E9	5.799055967633176
1.0322137235E9	246.7741935483871
1.0399456615E9	9.721692718261533
1.0476775995E9	45.945945945945944
1.0554095375E9	25.87757313109426
1.0602369155E9	40.476190476190474
1.0641028845E9	255.0
1.0708734135E9	0.0
1.0786053515E9	255.0
1.0863372895E9	255.0
1.0940692275E9	5.665901921422426
1.1018011655E9	255.0
1.1095331035E9	0.0
1.1172650415E9	0.0
1.1249969795E9	78.1131498470948
1.1327289175E9	0.0
1.1404608555E9	0.0
1.1481927935E9	255.0
1.1559247315E9	0.0
1.1636566695E9	8.491508491508492
1.1713886075E9	255.0
1.1791205455E9	0.0
1.1868524835E9	0.0
1.1945844215E9	8.731656184486374
1.2023163595E9	0.0
1.2100482975E9	0.0
1.2177802355E9	31.326781326781326
1.2255121735E9	0.0
1.230691223E9	0.0
1.234557192E9	140.1098901098901
1.2409760495E9	97.5
1.2487079875E9	255.0
1.2564399255E9	9.713638785295684
1.2641718635E9	0.0
1.2719038015E9	0.0
1.2796357395E9	12.206797510770704
1.2873676775E9	37.47727272727273
1.2950996155E9	0.0
1.3028315535E9	255.0
1.3105634915E9	255.0
1.3182954295E9	0.0
1.3260273675E9	255.0
1.3337593055E9	255.0
1.3414912435E9	0.0
1.3492231815E9	255.0
1.3569551195E9	0.0
1.3646870575E9	255.0
