exclusion	filter_index	is_applied	reads_fraction	reads_number
self-circle	1	1	0.0	0
dangling-end	2	1	0.20229555236728838	141
error	3	1	0.007173601147776184	5
extra_dangling-end	4	1	0.26255380200860834	183
too_close_from_RES	5	0	0.4031563845050215	281
too_short	6	0	0.06886657101865136	48
too_large	7	0	0.0	0
over-represented	8	0	0.01721664275466284	12
duplicated	9	1	0.0	0
random_breaks	10	1	0.00860832137733142	6
